"Start Time","End Time","Text","Label"
"00:00:00:12","00:00:02:12","아아.. 같이 타자아아... 어?","sadness"
"00:00:02:12","00:00:04:13","엄마 아빠도 안 탄다는데, 혼자 타면 재미없단 말이야...","sadness"
"00:00:05:00","00:00:07:00","아, 됐어. 토 쏠리는 걸 내가 왜 타.","neutral"
"00:00:07:00","00:00:09:01","같이 타주면 평생 충성할게~ 응~~?","happiness"
"00:00:09:01","00:00:10:02","응응~~??","happiness"
"00:00:10:02","00:00:11:16","아 오빠아아아~~!","happiness"
"00:00:11:16","00:00:13:01","참, 알았어.","neutral"
"00:00:13:24","00:00:15:01","흐흥, 역시 우리 오빠 짱~!","happiness"
"00:00:15:01","00:00:16:08","앞으로 평생 충성하겠습니다~~!","happiness"
"00:00:16:08","00:00:17:26","충성~~!","happiness"
"00:00:17:26","00:00:18:15","참, 충성은.","neutral"
"00:00:18:16","00:00:19:15","앞으로 잘 해라.","neutral"
"00:00:23:00","00:00:25:00","뭐야!? 고무줄 끊어졌어!?!?","surprise"
"00:00:25:19","00:00:27:30","이씨, stupid? 아, 머리 풀면 바이킹 탈 때","angry"
"00:00:28:00","00:00:29:06","머리카락 다 휘날리잖아!!!!!","angry"
"00:00:29:06","00:00:30:30","아! 이거 어쩔거야!!!!!","angry"
"00:00:31:00","00:00:33:25","뭐야, 10초 전에 평생 충성한다며?","neutral"
"00:00:34:00","00:00:38:00","와악! 재밌다! 오빠 평생 충성할게!!! 와아악!!!","happiness"
"00:00:40:00","00:00:42:00","아, 너 때문에 머리 다 휘날리잖아!!!!!!","angry"
"00:00:43:00","00:00:46:00","우와아~! 충성~~!!","happiness"
"00:00:47:00","00:00:49:08","아씨!!! 내 머리 진짜!!! 죽을래!?!?","angry"
